,EMIS,schoolName,districtName,circuit,cluster,sector,phase,schoolStatus,schoolType,suburb,city,closestTown,phoneNum,faxNum,GIS_Long,GIS_Lat,section21,quintile,managerName,email,landOwner,buildingOwner,address_old,cellno,snapEnrol,gradeREnrol,boarding,priorityOrder,lowestlevelCode,projectNum,agent,programme,strategic,bid,parent,description,source,programmeName,projectSize,projectStage,nature,scoa,startDate,endDate,totalCost,MTEF_2011_12,MTEF_2012_13,MTEF_2013_14,MTEF_2014_15,MTEF_2015_16,Revised_15_16_Budget,IA_Required_Budget,Variance,MTEF_2016_17,MTEF_2017_18,MTEF_2018_19,MTEF_2019_20,MTEF_2020_21,MTEF_2021_22,MTEF_2022_23,MTEF_2023_24,MTEF_2024_25,MTEF_2025_26,MTEF_2026_27,MTEF_2028_29,MTEF_2029_30,MTEF_2030_31,MTEF_2031_32,MTEF_2032_33,MTEF_2033_34,PWC_List,Snap_survey,ecplanComments,ASIDI_NDPW,asidiYear,asidiStatus,asidiCommentsA,asidiCommentsB,inEC,inASIDI
1046,200200323,KNOX PRIMARY SCHOOL,FORT BEAUFORT,CIRCUIT 9,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,DEBENEK,KING WILLIAMS TOWN,Dimbaza,NA,NA,27.16533,-32.8931,Yes,3,"GONIWE  ,NM",NA,PUBLIC,TO BE UPDATED,"XUKWANE VILLAGE,VILLAGE,DEBENEK,KING WILLIAMS TOWN,",763728776,202,29,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1047,200200324,KOLELE JUNIOR PRIMARY SCHOOL,KING WILLIAMS TOWN,Circuit 14,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,ZWELITSHA,KING WILLIAMS TOWN,Zwelitsha,NA,NA,27.4406,-32.9821,No,3,Ms Mkalipi,200200324kwt@gmail.com,PUBLIC,TO BE UPDATED,"MT COKE LOCATION,MT COKE,ZWELITSHA,KING WILLIAMS TOWN,5600",739796009,121,20,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1048,200200325,KOMGA JUNIOR PRIMARY SCHOOL,EAST LONDON,Circuit 4,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,KOMGA,Komga,438311015,438311000,27.896,-32.57573,Yes,4,"NOBLE  ,RA",kjsjph@cybertrade.co.za,PUBLIC,TO BE UPDATED,"MAIN STREET,KOMGA,",836529265,248,18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1049,200200326,KOMGA PUBLIC SCHOOL,EAST LONDON,Circuit 4,C,Public,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,KOMGA,Komga,438311348,438311348,27.88545,-32.58897,No,3,MQENI T,sirmqe@yahoo.co.za,PUBLIC,TO BE UPDATED,"MZOMHLE EXTENSION,KOMGA,4950",720766895,672,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1050,200200327,KOTI JUNIOR PRIMARY SCHOOL,FORT BEAUFORT,CIRCUIT 1,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,SEYMOUR,ALICE,Hogsback,NA,NA,26.85394,-32.63645,Yes,2,"MITI ,L",NA,PUBLIC,TO BE UPDATED,"ELUNDINI VILLAGE,ELUNDINI,SEYMOUR,ALICE,5700",796103602,40,9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1051,200200328,KUBUSIE COMBINED SCHOOL,KING WILLIAMS TOWN,Circuit 18,C,Public,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,STUTTERHEIM,Stutterheim,NA,436833797,27.41145,-32.59514,Yes,3,Mr Ntlanzi,kubusie@yahoo.com,PUBLIC,PUBLIC,"KUBUSIE,STUTTERHEIM,4930",NA,1321,87,FALSE,1,NA,NA,DOE,NA,INSUFFICIENT WATER & SAN,Proposed,Norms & Standards,NA,Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,New Infrastructure Assets,Building & other fixed structures,1-Apr-15,31-Mar-17,"3,092", -   , -   , -   ,NA,881,NA,NA,NA,"2,056", -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,NA,1,0
1052,200200329,KUHLE JUNIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 12,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,Kei Road,NA,NA,27.5074,-32.7227,Yes,3,Mr Hoko,NA,PUBLIC,TO BE UPDATED,"NOMZAMO LOCATION,NOMZAMO,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",837491820,622,63,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1053,200200330,KULILE SECONDARY SCHOOL,FORT BEAUFORT,CIRCUIT 9,C,Public,INTERMEDIATE SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,DEBENEK,Dimbaza,NA,865801109,27.12115,-32.91538,Yes,2,MAKUZENI BG,kulile sss@ lucingo.net,PUBLIC,TO BE UPDATED,"KULILE LOCATION,KULILE,DEBENEK,5604",736564877,207,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1054,200200331,KUNI PRIMARY SCHOOL,EAST LONDON,Circuit 10,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,Potsdam,NA,822069377,27.5829,-33.03395,No,2,DESI,kuniprimary@gmail.com,PUBLIC,TO BE UPDATED,"KUNI LOCATION,KUNI,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",835277485,160,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1055,200200332,KUSILE PRIMARY SCHOOL,KING WILLIAMS TOWN,Circuit 7,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,Bisho,NA,NA,27.30767,-32.88427,No,3,Mr Mbengu,200200332kwt@gmail.com,PUBLIC,TO BE UPDATED,"NKQANTOSI,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",799337726,172,23,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1056,200200333,KUSILE COMPREHENSIVE SCHOOL,EAST LONDON,Circuit 6,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,EASST LONDON,Duncan Village,437338515,865857543,27.8657,-33.0153,Yes,3,GAYIZA HF,gayiza@kusilecs.co.za,PUBLIC,PUBLIC,"MSIMANG STREET,DUNCAN,EASST LONDON,",NA,1470,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1057,200200334,KUYASA SENIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 7,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,DIMBAZA,KING WILLIAMS TOWN,Dimbaza,NA,040656 33 ,27.22066,-32.83346,Yes,3,Mr Vukuza,200200334kwt@gmail.com,PUBLIC,PUBLIC,"1216 DIMBAZA,DIMBAZA,KING WILLIAMS TOWN,5671",NA,801,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1058,200200335,kwaBHOLA PUBLIC SCHOOL,EAST LONDON,Circuit 3,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,MOOIPLAAS,EAST LONDON,Quko,NA,NA,28.15383,-32.76413,Yes,3,Z. KHALIPHILE,zandile.kalipile@gmail.com,PUBLIC,PUBLIC,"64 MOOIPLAAS EAST LONDON FARM,MOOIPLAAS,EAST LONDON,5200",717258437,50,11,FALSE,NA,30492228,DOE10ECAR046,IDT,IDT RSDP I,NEW AND REPLACEMENT ASSET,Active,Re-alignment,Roof repairs & associated works,Educational Infrastructure Grant,Public Ordinary Schools,Large,Final Account,New Infrastructure Assets,Building & other fixed structures,2-Apr-15,31-Mar-18,NA, -   , -   , -   ,10,310,310,310, -   , -   , -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,NA,1,0
1059,200200336,KwaDLISO SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 9,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WM'S TOWN,DIMBAZA,Keiskammahoek,NA,NA,27.15419,-32.76381,No,3,Mr Sijako,NA,PUBLIC,PUBLIC,"RABULA,KING WM'S TOWN,DIMBAZA,5670",842320306,19,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1060,200200337,SESETHU PRIMARY SCHOOL,KING WILLIAMS TOWN,Circuit 15,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,King William's Town,NA,NA,27.3666,-32.9046,Yes,3,Ms Joyi,200200337kwt@gmail.com,PUBLIC,TO BE UPDATED,"KWALINI LOCATION,KWALINI,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",828201172,252,35,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1061,200200338,KWANDULWAZI PUBLIC PRIMARY SCHOOL,EAST LONDON,Circuit 10,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NGERA,EAST LONDON,Kidd'S Beach,NA,NA,27.5924,-33.1121,Yes,3,SMITH NL,nokuzola.smith@yahoo.com,PUBLIC,TO BE UPDATED,"ONE VILLAGE,NGERA,EAST LONDON,5200",824359603,105,24,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1062,200200339,KWASA PRIMARY SCHOOL,KING WILLIAMS TOWN,Circuit 7,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,DIMBAZA,Dimbaza,NA,NA,27.22832,-32.83509,No,3,Mrs Gcilitshana,NA,PUBLIC,TO BE UPDATED,"P BLOCK,DIMBAZA,5671",834342987,220,35,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1063,200200340,KWELEGHA PUBLIC COMBINED SCHOOL,EAST LONDON,Circuit 4,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,WOODBROOK,EAST LONDON,Cintsa,NA,437370045,27.993,-32.84674,No,2,"MBAWULI ,PN ",sanele.soyamba@yahoo.com,PUBLIC,TO BE UPDATED,"981 TUBA LOCATION,TUBA,WOODBROOK,EAST LONDON,5201",833640321,330,41,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1064,200200341,KWELERHANA SENIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 11,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KWELERANA,KING WILLIAMS TOWN,Bisho,NA,NA,27.3062,-32.79746,Yes,3,Mr Maqina,NA,PUBLIC,PUBLIC,"JAFTA LOCATION,JAFTA,KWELERANA,KING WILLIAMS TOWN,5600",825119787,64,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1065,200200342,KWENXURA SENIOR SECONDARY SCHOOL,EAST LONDON,Circuit 3,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,MOOIPLAAS,EAST LONDON,Elliotdale,438511030,438511030,28.053281,-32.737504,Yes,1,NGQOBA,vz.ulana@gmail.com,PUBLIC,PUBLIC,"NGXINGXOLO LOCATION,NGXINGXOLO,MOOIPLAAS,EAST LONDON,5288",726702408,246,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1066,200200343,KWEZANA PRIMARY SCHOOL,FORT BEAUFORT,CIRCUIT 2,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KWEZANA,ALICE,Alice,NA,NA,26.92504,-32.70834,Yes,3,"NOJOZI  ,N",jenniferlungiswa@gmail.com,PUBLIC,TO BE UPDATED,"KWEZANA,ALICE,5700",78403112,121,12,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1067,200200345,KWEZILENTABA SENIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 9,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,UPPER ZINGCUKA LOCATION,KEISKAMMAHOEK,Keiskammahoek,NA,NA,27.03724,-32.66967,No,3,Mr Gantsho,NA,PUBLIC,PUBLIC,"UPPER ZINGCUKA LOCATION,UPPER ZINGCUKA,KEISKAMMAHOEK,5670",836883566,83,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1068,200200347,L M YAKO JUNIOR PRIMARY SCHOOL,EAST LONDON,Circuit 9,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NU 4,EAST LONDON,Mdantsane,437612696,437612696,27.75304,-32.92592,Yes,3,"PENI ,T  J",thembisand@gmail.com,PUBLIC,TO BE UPDATED,"96224 N.U,NU 4,EAST LONDON,5219",724462460,359,66,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1069,200200348,LABOBE SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 4,C,Public,INTERMEDIATE SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,PEDDIE,Peddie,NA,NA,27.112444,-33.34768,Yes,2,Mr Cingo,labobejss@gmail.com,PUBLIC,TO BE UPDATED,"NGQOWA,PEDDIE,5640",NA,37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1070,200200349,LAERSKOOL KUSWAG,EAST LONDON,Circuit 2,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,SUNNYRIDGE,EAST LONDON,Buffalo,437363506,437363293,27.84934,-33.03728,Yes,5,"SCHWARTZ ,JG",principal@kuswagprim.co.za,PUBLIC,TO BE UPDATED,"WENTWORTH ROAD,SUNNYRIDGE,EAST LONDON,5201",836249821,694,78,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1071,200200350,LAERSKOOL NAHOON,EAST LONDON,Circuit 6,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,BONNIE DOON,EAST LONDON,Cambridge,437353668,437354076,27.92713,-32.98338,Yes,5,VAN ROOYEN JF,office@nahoonskool.co.za,PUBLIC,PUBLIC,"SCHULTZ ROAD,BONNIE DOON,EAST LONDON,5241",845552938,277,35,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1072,200200351,LAMANI PRIMARY SCHOOL,FORT BEAUFORT,CIRCUIT 11,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,MIDDLEDRIFT,ALICE,Middledrift,NA,NA,26.95236,-32.81431,Yes,3,NCANYWA NA,NA,PUBLIC,TO BE UPDATED,"LOWER REGU LOCATION,LOWER REGU,MIDDLEDRIFT,ALICE,5700",82207502,70,12,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1073,200200352,LANGA LIPHUMILE SENIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 5,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,Zwelitsha,NA,406557970,27.42146,-33.02919,Yes,2,Ms Mzinda,200200352kwt@gmail.com,PUBLIC,PUBLIC,"MADLIKI,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",820474703,76,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1074,200200353,LANGALIVELILE PRIMARY SCHOOL,FORT BEAUFORT,CIRCUIT 2,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,ALICE,Alice,NA,NA,26.9334,-32.71928,Yes,3,"GAQA  ,GM",NA,PUBLIC,TO BE UPDATED,"MAJWARENI LOCATION,MAJWARENI,ALICE,5700",827622448,50,11,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1075,200200354,LANGELITSHA SENIOR PRIMARY SCHOOL,EAST LONDON,Circuit 8,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NU 3,EAST LONDON,Mdantsane,437611613,437611613,27.75213,-32.95116,Yes,3,"GQILI ,J.",langelitshprimaryschool@hotmail.com,PUBLIC,TO BE UPDATED,"51082 NU,NU 3,EAST LONDON,5219",724041461,240,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1076,200200356,LENDEK FARM SCHOOL,KING WILLIAMS TOWN,Circuit 12,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,AMABELE,STUTTERHEIM,Amabele,NA,NA,27.49993,-32.64043,No,2,Mrs Kutsu,200200356kwt@gmail.com,PUBLIC,TO BE UPDATED,"GASELA VILLAGE,AMABELE,STUTTERHEIM,4931",839674976,66,16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1077,200200357,LENYE PRIMARY SCHOOL,KING WILLIAMS TOWN,Circuit 9,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,KEISKAMMAHOEK,Keiskammahoek,NA,NA,27.08031,-32.75324,No,3,Mr Ngcongconi,NA,PUBLIC,TO BE UPDATED,"LENYE,KEISKAMMAHOEK,5670",833646841,112,19,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1078,200200359,LILYFONTEIN PRIMARY SCHOOL,EAST LONDON,Circuit 4,C,Public,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,BRAKFONTEIN,BEACON BAY,Cintsa,437374258,437374363,27.9988,-32.8726,Yes,5,GALBRAITH IW,office@lilyfontein.co.za,PUBLIC,PUBLIC,"564  FARM,BRAKFONTEIN,BRAKFONTEIN,BEACON BAY,",836533429,517,44,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1079,200200360,LINGANI SENIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 9,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KEISKAMMAHOEK,KING WILLIAMS TOWN,Keiskammahoek,NA,NA,27.11996,-32.72366,Yes,3,Mr Pona,NA,PUBLIC,PUBLIC,"UPPER NGQUMEYA LOCATION,NGQUMEYA,KEISKAMMAHOEK,KING WILLIAMS TOWN,5670",735371796,138,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1080,200200361,LINGELETHU SENIOR SECONDARY SCHOOL,KING WILLIAMS TOWN,Circuit 5,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,Zwelitsha,NA,NA,27.40013,-33.01162,Yes,2,Mr Gqamane,200200361kwt@gmail.com,PUBLIC,PUBLIC,"MDOLOMBA LOCATION,MDOLOMBA,KING WILLIAM'S TOWN,KING WILLIAMS TOWN,5600",837375030,95,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
